property;statistic;value
upperLegLeft;upperQuartile;0,470113
upperLegLeft;upperWhisker;0,491371
upperLegLeft;minValue;0,42582
upperLegLeft;maxValue;0,504053
upperLegLeft;amountDataPoints;826
upperLegLeft;amountOutliers;12
upperLegLeft;sum;382,022
upperLegLeft;mean;0,462497
upperLegLeft;quartileDistance;0,0164533
upperLegRight;lowerWhisker;0,429831
upperLegRight;lowerQuartile;0,447267
upperLegRight;median;0,453837
upperLegRight;upperQuartile;0,459597
upperLegRight;upperWhisker;0,478041
upperLegRight;minValue;0,401342
upperLegRight;maxValue;0,525516
upperLegRight;amountDataPoints;826
upperLegRight;amountOutliers;49
upperLegRight;sum;375,2
upperLegRight;mean;0,454237
upperLegRight;quartileDistance;0,0123302
lowerLegRight;lowerWhisker;0,441093
lowerLegRight;lowerQuartile;0,478488
lowerLegRight;median;0,492217
lowerLegRight;upperQuartile;0,503774
lowerLegRight;upperWhisker;0,541414
lowerLegRight;minValue;0,394512
lowerLegRight;maxValue;0,705217
lowerLegRight;amountDataPoints;826
lowerLegRight;amountOutliers;94
lowerLegRight;sum;412,574
lowerLegRight;mean;0,499484
lowerLegRight;quartileDistance;0,0252856
