property;value
upperarmLeft;0.328946
shoulderHalfLeft;0.128517
neck;0.0834479
shoulderHalfRight;0.194258
upperarmRight;0.255122
forearmRight;0.316867
shoulder;0.25201
upperBody;0.260854
hip;0.111535
lowerBody;0.36479
body;0.625603
lowerLegLeft;0.357175
upperLegLeft;0.479815
upperLegRight;0.489583
lowerLegRight;0.43692
forearmLeft;0.304846
upperarmLeft;0.328995
shoulderHalfLeft;0.128623
neck;0.0834648
shoulderHalfRight;0.192385
upperarmRight;0.2551
forearmRight;0.317862
shoulder;0.252071
upperBody;0.260873
hip;0.111648
lowerBody;0.364803
body;0.625625
lowerLegLeft;0.353365
upperLegLeft;0.479716
upperLegRight;0.489278
lowerLegRight;0.434548
forearmLeft;0.304849
upperarmLeft;0.329038
shoulderHalfLeft;0.12855
neck;0.0834521
shoulderHalfRight;0.192825
upperarmRight;0.254987
forearmRight;0.318264
shoulder;0.252301
upperBody;0.260854
hip;0.111613
lowerBody;0.364763
body;0.625567
lowerLegLeft;0.355652
upperLegLeft;0.477921
upperLegRight;0.489258
lowerLegRight;0.434707
forearmLeft;0.304772
upperarmLeft;0.329083
shoulderHalfLeft;0.128506
neck;0.0834517
shoulderHalfRight;0.192855
upperarmRight;0.254702
forearmRight;0.318796
shoulder;0.251895
upperBody;0.260844
hip;0.111666
lowerBody;0.364745
body;0.62554
lowerLegLeft;0.355647
upperLegLeft;0.477718
upperLegRight;0.489221
lowerLegRight;0.434597
forearmLeft;0.304524
upperarmLeft;0.329148
shoulderHalfLeft;0.128681
neck;0.083459
shoulderHalfRight;0.191917
upperarmRight;0.254742
forearmRight;0.318762
shoulder;0.252072
upperBody;0.260854
hip;0.11172
lowerBody;0.364749
body;0.62555
lowerLegLeft;0.408229
upperLegLeft;0.478626
upperLegRight;0.489164
lowerLegRight;0.481538
forearmLeft;0.304211
upperarmLeft;0.329213
shoulderHalfLeft;0.128644
neck;0.0834595
shoulderHalfRight;0.192201
upperarmRight;0.254709
forearmRight;0.318812
shoulder;0.252277
upperBody;0.260847
hip;0.111753
lowerBody;0.364734
body;0.625529
lowerLegLeft;0.351196
upperLegLeft;0.478328
upperLegRight;0.48911
lowerLegRight;0.434108
forearmLeft;0.303909
upperarmLeft;0.32926
shoulderHalfLeft;0.128565
neck;0.0834348
shoulderHalfRight;0.192309
upperarmRight;0.254492
forearmRight;0.319067
shoulder;0.252029
upperBody;0.26081
hip;0.111845
lowerBody;0.364711
body;0.625469
lowerLegLeft;0.41281
upperLegLeft;0.478073
upperLegRight;0.489066
lowerLegRight;0.485321
forearmLeft;0.303969
upperarmLeft;0.329304
shoulderHalfLeft;0.128485
neck;0.0834045
shoulderHalfRight;0.192882
upperarmRight;0.254414
